real_name,pumptotal,quinns,yanchep,whitfords,sw_flux,pf_sw_flux,tds,pf_tds,total_penalties,total_penalties_var,ei
gen=1987_member=8618_pso,-114.211058,-13.9201229,-1.1253045,-18.8467223,9746.339680000001,0,318.794083,0,414.608,0,0
gen=1988_member=8741_pso,-113.959582,-14.416452,-1.14768118,-20.1519708,9739.05124,0,316.456569,0,415.7419999999999,0,0
gen=1989_member=8850_pso,-113.92837,-14.5305451,-1.18782385,-18.4805776,9738.79258,0,314.181929,0,417.29099999999994,0,0
gen=1990_member=8923_pso,-114.209517,-12.9709233,-1.02734666,-19.1580649,9756.298710000001,0,317.301598,0,414.2994999999999,0,0
gen=1991_member=9007_pso,-113.905399,-14.9814281,-1.12467076,-18.6679943,9737.36752,0,318.448182,0,415.6088,0,0
gen=1992_member=9107_pso,-114.343178,-14.3456279,-1.06576604,-19.68581,9734.23469,0,319.580298,0,415.0649,0,0
gen=1992_member=9125_pso,-113.696842,-13.8602136,-1.00594123,-18.8593069,9725.5946,0,316.467664,0,414.65129999999994,0,0
gen=1992_member=9129_pso,-116.418127,-15.1873105,-1.1279122,-19.5550334,9745.83698,0,319.856153,0,416.06549999999993,0,0
gen=1993_member=9233_pso,-114.771074,-14.1781011,-1.17003084,-18.5384372,9747.669189999999,0,316.988157,0,415.8471999999998,0,0
gen=1993_member=9241_pso,-113.925361,-14.2832803,-0.990496735,-19.6102446,9731.354819999999,0,318.923984,0,414.0208,0,0
gen=1993_member=9278_pso,-115.545508,-13.4421321,-1.17188115,-19.5694619,9756.00953,0,318.652365,0,414.1448,0,0
gen=1994_member=9322_pso,-114.185701,-14.1740766,-1.05250738,-19.9935688,9734.73528,0,316.905523,0,415.1228999999999,0,0
gen=1994_member=9333_pso,-115.380769,-15.4801348,-1.06610081,-18.4955608,9746.198190000001,0,317.874291,0,416.2471999999999,0,0
gen=1994_member=9360_pso,-114.568001,-14.3675987,-0.968538281,-19.1676329,9729.309329999998,0,317.255042,0,414.7095999999999,0,0
gen=1995_member=9445_pso,-115.333333,-14.2472831,-1.12365012,-19.5665305,9745.953260000002,0,317.281186,0,416.2747999999999,0,0
gen=1996_member=9510_pso,-114.140234,-13.814876,-0.983886323,-18.1489204,9738.37045,0,315.294506,0,414.5903,0,0
gen=1996_member=9524_pso,-114.332354,-14.3827427,-1.0159986,-19.2399683,9753.490890000001,0,314.85526,0,414.8108,0,0
gen=1996_member=9551_pso,-114.11831,-13.8577267,-1.08963849,-18.9985698,9735.4881,0,318.67882,0,414.52969999999993,0,0
gen=1996_member=9555_pso,-113.991163,-13.9340281,-0.960711956,-18.8529084,9738.90537,0,317.321265,0,413.7806,0,0
gen=1996_member=9562_pso,-114.402623,-14.1720888,-1.1887102,-20.3419721,9740.74835,0,314.163461,0,414.49819999999994,0,0
gen=1997_member=9627_pso,-113.770614,-14.9252367,-1.07278371,-17.950863,9730.31976,0,316.285871,0,416.3877999999999,0,0
gen=1997_member=9630_pso,-114.605527,-13.9462803,-1.12929982,-18.8482996,9750.11407,0,318.446233,0,415.9901999999999,0,0
gen=1997_member=9638_pso,-114.025486,-14.9071293,-1.02122686,-18.6725797,9730.32573,0,319.504417,0,414.0312,0,0
gen=1997_member=9688_pso,-113.799465,-14.2363297,-1.01972937,-20.2246206,9746.573800000002,0,316.180121,0,413.6563,0,0
